game_id,game,config,time_budget_s,max_nodes,max_entries,agent_first,agent_second,winner,plies,end_reason,seed,workers
uttt.easy.random-mcts.t0,uttt,easy,2.0,50000,200000,random,mcts,second,34,line,6774764386041532812,1
uttt.easy.mcts-random.t0,uttt,easy,2.0,50000,200000,mcts,random,first,43,line,7761190930761315779,1
uttt.easy.heuristic-alpha_beta.t0,uttt,easy,2.0,50000,200000,heuristic,alpha_beta,second,34,line,17019914679747600847,1
uttt.easy.alpha_beta-heuristic.t0,uttt,easy,2.0,50000,200000,alpha_beta,heuristic,first,33,line,3639462539150123889,1
uttt.easy.heuristic-mcts.t0,uttt,easy,2.0,50000,200000,heuristic,mcts,second,42,line,6960284863322585879,1
uttt.easy.mcts-heuristic.t0,uttt,easy,2.0,50000,200000,mcts,heuristic,first,31,line,16885890976739620520,1
uttt.easy.alpha_beta-mcts.t0,uttt,easy,2.0,50000,200000,alpha_beta,mcts,draw,42,early_draw,13134785662837553423,1
uttt.easy.mcts-alpha_beta.t0,uttt,easy,2.0,50000,200000,mcts,alpha_beta,draw,61,early_draw,1549676292666220463,1
uttt.main.random-heuristic.t0,uttt,main,0.5,50000,200000,random,heuristic,second,34,line,9218138509131825144,1
uttt.main.heuristic-random.t0,uttt,main,0.5,50000,200000,heuristic,random,first,43,line,14306694765670465448,1
uttt.main.random-alpha_beta.t0,uttt,main,0.5,50000,200000,random,alpha_beta,second,38,line,10584622901804681012,1
uttt.main.alpha_beta-random.t0,uttt,main,0.5,50000,200000,alpha_beta,random,first,37,line,649211116564868210,1
uttt.main.random-mcts.t0,uttt,main,0.5,50000,200000,random,mcts,second,38,line,4675198316076043004,1
uttt.main.mcts-random.t0,uttt,main,0.5,50000,200000,mcts,random,first,37,line,6902814303784203733,1
uttt.main.heuristic-alpha_beta.t0,uttt,main,0.5,50000,200000,heuristic,alpha_beta,second,32,line,519376907409783728,1
uttt.main.alpha_beta-heuristic.t0,uttt,main,0.5,50000,200000,alpha_beta,heuristic,first,35,line,11811057394425395184,1
uttt.main.heuristic-mcts.t0,uttt,main,0.5,50000,200000,heuristic,mcts,draw,50,early_draw,18301168281049634276,1
uttt.main.mcts-heuristic.t0,uttt,main,0.5,50000,200000,mcts,heuristic,first,31,line,1657790281824837151,1
uttt.main.alpha_beta-mcts.t0,uttt,main,0.5,50000,200000,alpha_beta,mcts,first,57,line,16002276352101619647,1
uttt.main.mcts-alpha_beta.t0,uttt,main,0.5,50000,200000,mcts,alpha_beta,second,48,line,4299094246515951199,1
uttt.hard.random-heuristic.t0,uttt,hard,0.1,50000,200000,random,heuristic,second,34,line,3788035249064409104,1
uttt.hard.heuristic-random.t0,uttt,hard,0.1,50000,200000,heuristic,random,first,31,line,16112342876961570344,1
uttt.hard.random-alpha_beta.t0,uttt,hard,0.1,50000,200000,random,alpha_beta,second,40,line,1683946806629508497,1
uttt.hard.alpha_beta-random.t0,uttt,hard,0.1,50000,200000,alpha_beta,random,first,35,line,9170662572912930193,1
uttt.hard.random-mcts.t0,uttt,hard,0.1,50000,200000,random,mcts,second,38,line,15520369645315981298,1
uttt.hard.mcts-random.t0,uttt,hard,0.1,50000,200000,mcts,random,first,39,line,1060664540574653465,1
uttt.hard.heuristic-alpha_beta.t0,uttt,hard,0.1,50000,200000,heuristic,alpha_beta,second,40,line,10779200324772976049,1
uttt.hard.alpha_beta-heuristic.t0,uttt,hard,0.1,50000,200000,alpha_beta,heuristic,first,39,line,17604503362281299709,1
uttt.hard.heuristic-mcts.t0,uttt,hard,0.1,50000,200000,heuristic,mcts,second,28,line,12847158333430994532,1
uttt.hard.mcts-heuristic.t0,uttt,hard,0.1,50000,200000,mcts,heuristic,first,37,line,1624871718737943510,1
uttt.hard.alpha_beta-mcts.t0,uttt,hard,0.1,50000,200000,alpha_beta,mcts,first,49,line,13881662569930376123,1
uttt.hard.mcts-alpha_beta.t0,uttt,hard,0.1,50000,200000,mcts,alpha_beta,first,45,line,2498607952806752939,1
ataxx.easy.random-heuristic.t0,ataxx,easy,2.0,50000,200000,random,heuristic,second,10,eliminated,4445031833752596487,1
ataxx.easy.heuristic-random.t0,ataxx,easy,2.0,50000,200000,heuristic,random,first,7,eliminated,11207057358807623337,1
ataxx.easy.random-alpha_beta.t0,ataxx,easy,2.0,50000,200000,random,alpha_beta,second,12,eliminated,17690595369277715172,1
ataxx.easy.alpha_beta-random.t0,ataxx,easy,2.0,50000,200000,alpha_beta,random,first,5,eliminated,8804967120725753211,1
ataxx.easy.random-mcts.t0,ataxx,easy,2.0,50000,200000,random,mcts,second,8,eliminated,14475024789686350029,1
ataxx.easy.mcts-random.t0,ataxx,easy,2.0,50000,200000,mcts,random,first,7,eliminated,6527629810615304257,1
ataxx.easy.heuristic-alpha_beta.t0,ataxx,easy,2.0,50000,200000,heuristic,alpha_beta,second,80,board_full,5491077550809054905,1
ataxx.easy.alpha_beta-heuristic.t0,ataxx,easy,2.0,50000,200000,alpha_beta,heuristic,first,71,board_full,11040191312512420280,1
ataxx.easy.heuristic-mcts.t0,ataxx,easy,2.0,50000,200000,heuristic,mcts,second,16,eliminated,15464026841742975672,1
ataxx.easy.mcts-heuristic.t0,ataxx,easy,2.0,50000,200000,mcts,heuristic,first,17,eliminated,6396544531240125737,1
ataxx.easy.alpha_beta-mcts.t0,ataxx,easy,2.0,50000,200000,alpha_beta,mcts,first,77,board_full,14886127183562830656,1
ataxx.easy.mcts-alpha_beta.t0,ataxx,easy,2.0,50000,200000,mcts,alpha_beta,second,70,board_full,4447004361186341332,1
ataxx.main.random-heuristic.t0,ataxx,main,0.5,50000,200000,random,heuristic,second,10,eliminated,5874086901741082979,1
ataxx.main.heuristic-random.t0,ataxx,main,0.5,50000,200000,heuristic,random,first,21,eliminated,11889231525168834289,1
ataxx.main.random-alpha_beta.t0,ataxx,main,0.5,50000,200000,random,alpha_beta,second,8,eliminated,5053231839812117220,1
ataxx.main.alpha_beta-random.t0,ataxx,main,0.5,50000,200000,alpha_beta,random,first,9,eliminated,2657968005106246222,1
ataxx.main.random-mcts.t0,ataxx,main,0.5,50000,200000,random,mcts,second,8,eliminated,18255643272809075619,1
ataxx.main.mcts-random.t0,ataxx,main,0.5,50000,200000,mcts,random,first,9,eliminated,16544673081843279036,1
ataxx.main.heuristic-alpha_beta.t0,ataxx,main,0.5,50000,200000,heuristic,alpha_beta,second,20,eliminated,18209699571931064008,1
ataxx.main.alpha_beta-heuristic.t0,ataxx,main,0.5,50000,200000,alpha_beta,heuristic,first,78,board_full,3958086491463699012,1
ataxx.main.heuristic-mcts.t0,ataxx,main,0.5,50000,200000,heuristic,mcts,first,89,board_full,4170632253669598138,1
ataxx.main.mcts-heuristic.t0,ataxx,main,0.5,50000,200000,mcts,heuristic,second,82,board_full,9380324310582885494,1
ataxx.main.alpha_beta-mcts.t0,ataxx,main,0.5,50000,200000,alpha_beta,mcts,first,79,board_full,1255721948593524190,1
ataxx.main.mcts-alpha_beta.t0,ataxx,main,0.5,50000,200000,mcts,alpha_beta,second,84,board_full,16163269090937288290,1
ataxx.hard.random-heuristic.t0,ataxx,hard,0.1,50000,200000,random,heuristic,second,14,eliminated,16087588902485342544,1
ataxx.hard.heuristic-random.t0,ataxx,hard,0.1,50000,200000,heuristic,random,first,19,eliminated,12325918398547522408,1
ataxx.hard.random-alpha_beta.t0,ataxx,hard,0.1,50000,200000,random,alpha_beta,second,24,eliminated,805657372801240324,1
ataxx.hard.alpha_beta-random.t0,ataxx,hard,0.1,50000,200000,alpha_beta,random,first,9,eliminated,12053434866463975139,1
ataxx.hard.random-mcts.t0,ataxx,hard,0.1,50000,200000,random,mcts,second,34,eliminated,3792282113417677510,1
ataxx.hard.mcts-random.t0,ataxx,hard,0.1,50000,200000,mcts,random,first,9,eliminated,1128294078404094772,1
ataxx.hard.heuristic-alpha_beta.t0,ataxx,hard,0.1,50000,200000,heuristic,alpha_beta,second,81,board_full,11068033430943758986,1
ataxx.hard.alpha_beta-heuristic.t0,ataxx,hard,0.1,50000,200000,alpha_beta,heuristic,first,68,board_full,15533232303447708450,1
ataxx.hard.heuristic-mcts.t0,ataxx,hard,0.1,50000,200000,heuristic,mcts,first,81,board_full,11717259204867893698,1
ataxx.hard.mcts-heuristic.t0,ataxx,hard,0.1,50000,200000,mcts,heuristic,second,34,eliminated,7534657739364372640,1
ataxx.hard.alpha_beta-mcts.t0,ataxx,hard,0.1,50000,200000,alpha_beta,mcts,first,95,board_full,7181733433478515721,1
ataxx.hard.mcts-alpha_beta.t0,ataxx,hard,0.1,50000,200000,mcts,alpha_beta,second,80,board_full,3909619042856249803,1
isolation.easy.random-heuristic.t1,isolation,easy,0.5,50000,200000,random,heuristic,second,10,no_moves,7588306752480031516,1
isolation.easy.heuristic-random.t1,isolation,easy,0.5,50000,200000,heuristic,random,first,11,no_moves,11755030871282186887,1
isolation.easy.random-alpha_beta.t1,isolation,easy,0.5,50000,200000,random,alpha_beta,second,10,no_moves,3857855048420024114,1
isolation.easy.alpha_beta-random.t1,isolation,easy,0.5,50000,200000,alpha_beta,random,first,7,no_moves,13842771140903266153,1
isolation.easy.random-mcts.t1,isolation,easy,0.5,50000,200000,random,mcts,second,14,no_moves,17327802794830490492,1
isolation.easy.mcts-random.t1,isolation,easy,0.5,50000,200000,mcts,random,first,13,no_moves,4519766712202158342,1
isolation.easy.heuristic-alpha_beta.t1,isolation,easy,0.5,50000,200000,heuristic,alpha_beta,second,16,no_moves,17845225046128719850,1
isolation.easy.alpha_beta-heuristic.t1,isolation,easy,0.5,50000,200000,alpha_beta,heuristic,first,9,no_moves,6379774038816024983,1
isolation.easy.heuristic-mcts.t1,isolation,easy,0.5,50000,200000,heuristic,mcts,second,18,no_moves,1583403559589219483,1
isolation.easy.mcts-heuristic.t1,isolation,easy,0.5,50000,200000,mcts,heuristic,first,15,no_moves,16524407078734251615,1
isolation.easy.alpha_beta-mcts.t1,isolation,easy,0.5,50000,200000,alpha_beta,mcts,first,13,no_moves,1221003017905533394,1
isolation.easy.mcts-alpha_beta.t1,isolation,easy,0.5,50000,200000,mcts,alpha_beta,first,21,no_moves,10575770737464933163,1
isolation.main.random-heuristic.t1,isolation,main,0.1,50000,200000,random,heuristic,second,16,no_moves,3160572155286519945,1
isolation.main.heuristic-random.t1,isolation,main,0.1,50000,200000,heuristic,random,second,16,no_moves,17406537082812554718,1
isolation.main.random-alpha_beta.t1,isolation,main,0.1,50000,200000,random,alpha_beta,second,10,no_moves,3811761030733469684,1
isolation.main.alpha_beta-random.t1,isolation,main,0.1,50000,200000,alpha_beta,random,first,11,no_moves,5166190953450191151,1
isolation.main.random-mcts.t1,isolation,main,0.1,50000,200000,random,mcts,second,16,no_moves,7886387126185096712,1
isolation.main.mcts-random.t1,isolation,main,0.1,50000,200000,mcts,random,first,13,no_moves,11896073717265337238,1
isolation.main.heuristic-alpha_beta.t1,isolation,main,0.1,50000,200000,heuristic,alpha_beta,second,14,no_moves,3124224933351489226,1
isolation.main.alpha_beta-heuristic.t1,isolation,main,0.1,50000,200000,alpha_beta,heuristic,first,9,no_moves,16941027583419304835,1
isolation.main.heuristic-mcts.t1,isolation,main,0.1,50000,200000,heuristic,mcts,second,16,no_moves,11726975974609455926,1
isolation.main.mcts-heuristic.t1,isolation,main,0.1,50000,200000,mcts,heuristic,first,17,no_moves,4923953868649798601,1
isolation.main.alpha_beta-mcts.t1,isolation,main,0.1,50000,200000,alpha_beta,mcts,first,9,no_moves,16989617694659474482,1
isolation.main.mcts-alpha_beta.t1,isolation,main,0.1,50000,200000,mcts,alpha_beta,first,17,no_moves,6469338554397047179,1
isolation.hard.random-heuristic.t1,isolation,hard,0.02,50000,200000,random,heuristic,second,14,no_moves,17564584388410912041,1
isolation.hard.heuristic-random.t1,isolation,hard,0.02,50000,200000,heuristic,random,first,17,no_moves,5169355460561634102,1
isolation.hard.random-alpha_beta.t1,isolation,hard,0.02,50000,200000,random,alpha_beta,second,14,no_moves,6724620405756887510,1
isolation.hard.alpha_beta-random.t1,isolation,hard,0.02,50000,200000,alpha_beta,random,first,11,no_moves,18429564527022384378,1
isolation.hard.random-mcts.t1,isolation,hard,0.02,50000,200000,random,mcts,second,14,no_moves,8206313264723259917,1
isolation.hard.mcts-random.t1,isolation,hard,0.02,50000,200000,mcts,random,first,11,no_moves,6101788041674013938,1
isolation.hard.heuristic-alpha_beta.t1,isolation,hard,0.02,50000,200000,heuristic,alpha_beta,second,14,no_moves,100908891855020510,1
isolation.hard.alpha_beta-heuristic.t1,isolation,hard,0.02,50000,200000,alpha_beta,heuristic,first,9,no_moves,4360366525197772602,1
isolation.hard.heuristic-mcts.t1,isolation,hard,0.02,50000,200000,heuristic,mcts,second,16,no_moves,12109809097301606260,1
isolation.hard.mcts-heuristic.t1,isolation,hard,0.02,50000,200000,mcts,heuristic,first,19,no_moves,12876607650456064025,1
isolation.hard.alpha_beta-mcts.t1,isolation,hard,0.02,50000,200000,alpha_beta,mcts,first,23,no_moves,18375122356600050539,1
isolation.hard.mcts-alpha_beta.t1,isolation,hard,0.02,50000,200000,mcts,alpha_beta,first,19,no_moves,6043913769915063342,1
uttt.easy.random-heuristic.t1,uttt,easy,2.0,50000,200000,random,heuristic,second,42,line,15024972833629720792,1
uttt.easy.heuristic-random.t1,uttt,easy,2.0,50000,200000,heuristic,random,first,35,line,2827689772523276898,1
uttt.easy.random-alpha_beta.t1,uttt,easy,2.0,50000,200000,random,alpha_beta,second,42,line,12206316810060480708,1
uttt.easy.alpha_beta-random.t1,uttt,easy,2.0,50000,200000,alpha_beta,random,first,37,line,2255931437133297022,1
uttt.easy.random-mcts.t1,uttt,easy,2.0,50000,200000,random,mcts,second,28,line,6104615910886749607,1
uttt.easy.mcts-random.t1,uttt,easy,2.0,50000,200000,mcts,random,first,41,line,10199112088813947354,1
uttt.easy.heuristic-alpha_beta.t1,uttt,easy,2.0,50000,200000,heuristic,alpha_beta,second,46,line,6438223822990473945,1
uttt.easy.alpha_beta-heuristic.t1,uttt,easy,2.0,50000,200000,alpha_beta,heuristic,first,33,line,2147057697943260743,1
uttt.easy.heuristic-mcts.t1,uttt,easy,2.0,50000,200000,heuristic,mcts,second,38,line,1001645128019796712,1
uttt.easy.mcts-heuristic.t1,uttt,easy,2.0,50000,200000,mcts,heuristic,first,37,line,9989587217963692350,1
uttt.easy.alpha_beta-mcts.t1,uttt,easy,2.0,50000,200000,alpha_beta,mcts,first,49,line,7942581450112138333,1
uttt.easy.mcts-alpha_beta.t1,uttt,easy,2.0,50000,200000,mcts,alpha_beta,draw,49,early_draw,3044535464395367099,1
uttt.main.random-heuristic.t1,uttt,main,0.5,50000,200000,random,heuristic,second,38,line,4485616856603700155,1
uttt.main.heuristic-random.t1,uttt,main,0.5,50000,200000,heuristic,random,first,41,line,1568733318538679736,1
uttt.main.random-alpha_beta.t1,uttt,main,0.5,50000,200000,random,alpha_beta,second,30,line,18335056898641611705,1
uttt.main.alpha_beta-random.t1,uttt,main,0.5,50000,200000,alpha_beta,random,first,37,line,5791105214469802086,1
uttt.main.random-mcts.t1,uttt,main,0.5,50000,200000,random,mcts,second,32,line,1621390312182790279,1
uttt.main.mcts-random.t1,uttt,main,0.5,50000,200000,mcts,random,first,31,line,8582798943710814101,1
uttt.main.heuristic-alpha_beta.t1,uttt,main,0.5,50000,200000,heuristic,alpha_beta,second,26,line,5313084482585859101,1
uttt.main.alpha_beta-heuristic.t1,uttt,main,0.5,50000,200000,alpha_beta,heuristic,first,29,line,6070415720413576568,1
uttt.main.heuristic-mcts.t1,uttt,main,0.5,50000,200000,heuristic,mcts,second,42,line,79793022832920560,1
uttt.main.mcts-heuristic.t1,uttt,main,0.5,50000,200000,mcts,heuristic,first,45,line,17759716927133184511,1
uttt.main.alpha_beta-mcts.t1,uttt,main,0.5,50000,200000,alpha_beta,mcts,first,39,line,3384103314337229529,1
uttt.main.mcts-alpha_beta.t1,uttt,main,0.5,50000,200000,mcts,alpha_beta,first,45,line,17286986349624843666,1
uttt.hard.random-heuristic.t1,uttt,hard,0.1,50000,200000,random,heuristic,second,44,line,13129191624551379164,1
uttt.hard.heuristic-random.t1,uttt,hard,0.1,50000,200000,heuristic,random,first,35,line,12442282250926432696,1
uttt.hard.random-alpha_beta.t1,uttt,hard,0.1,50000,200000,random,alpha_beta,second,44,line,4288395811980737710,1
uttt.hard.alpha_beta-random.t1,uttt,hard,0.1,50000,200000,alpha_beta,random,first,31,line,15268497246923426072,1
uttt.hard.random-mcts.t1,uttt,hard,0.1,50000,200000,random,mcts,second,44,line,15733107378393389031,1
uttt.hard.mcts-random.t1,uttt,hard,0.1,50000,200000,mcts,random,first,41,line,11245775677565417826,1
uttt.hard.heuristic-alpha_beta.t1,uttt,hard,0.1,50000,200000,heuristic,alpha_beta,second,46,line,5427325248525244744,1
uttt.hard.alpha_beta-heuristic.t1,uttt,hard,0.1,50000,200000,alpha_beta,heuristic,first,47,line,826169810083905998,1
uttt.hard.heuristic-mcts.t1,uttt,hard,0.1,50000,200000,heuristic,mcts,second,34,line,10235680605829949238,1
uttt.hard.mcts-heuristic.t1,uttt,hard,0.1,50000,200000,mcts,heuristic,first,41,line,4440499504769227864,1
uttt.hard.alpha_beta-mcts.t1,uttt,hard,0.1,50000,200000,alpha_beta,mcts,first,33,line,6602194909831346396,1
uttt.hard.mcts-alpha_beta.t1,uttt,hard,0.1,50000,200000,mcts,alpha_beta,second,50,line,6478669166612895411,1
ataxx.easy.random-heuristic.t1,ataxx,easy,2.0,50000,200000,random,heuristic,second,12,eliminated,1402563458949302756,1
ataxx.easy.heuristic-random.t1,ataxx,easy,2.0,50000,200000,heuristic,random,first,19,eliminated,17856339258646337521,1
ataxx.easy.random-alpha_beta.t1,ataxx,easy,2.0,50000,200000,random,alpha_beta,second,10,eliminated,9464754926247425638,1
ataxx.easy.alpha_beta-random.t1,ataxx,easy,2.0,50000,200000,alpha_beta,random,first,9,eliminated,4439489021805800869,1
ataxx.easy.random-mcts.t1,ataxx,easy,2.0,50000,200000,random,mcts,second,10,eliminated,5937166674830365822,1
ataxx.easy.mcts-random.t1,ataxx,easy,2.0,50000,200000,mcts,random,first,9,eliminated,8558274627865333404,1
ataxx.easy.heuristic-alpha_beta.t1,ataxx,easy,2.0,50000,200000,heuristic,alpha_beta,second,77,board_full,17631804633307876524,1
ataxx.easy.alpha_beta-heuristic.t1,ataxx,easy,2.0,50000,200000,alpha_beta,heuristic,first,70,board_full,4473762867268652696,1
ataxx.easy.heuristic-mcts.t1,ataxx,easy,2.0,50000,200000,heuristic,mcts,first,91,board_full,8871423567859174403,1
ataxx.easy.mcts-heuristic.t1,ataxx,easy,2.0,50000,200000,mcts,heuristic,first,77,board_full,16499987863081991489,1
ataxx.easy.alpha_beta-mcts.t1,ataxx,easy,2.0,50000,200000,alpha_beta,mcts,first,87,board_full,14710424704976455590,1
ataxx.easy.mcts-alpha_beta.t1,ataxx,easy,2.0,50000,200000,mcts,alpha_beta,second,80,board_full,670181484143487641,1
ataxx.main.random-heuristic.t1,ataxx,main,0.5,50000,200000,random,heuristic,second,18,eliminated,16269318640135327131,1
ataxx.main.heuristic-random.t1,ataxx,main,0.5,50000,200000,heuristic,random,first,9,eliminated,14882217430815869582,1
ataxx.main.random-alpha_beta.t1,ataxx,main,0.5,50000,200000,random,alpha_beta,second,8,eliminated,3060449502707103847,1
ataxx.main.alpha_beta-random.t1,ataxx,main,0.5,50000,200000,alpha_beta,random,first,13,eliminated,9852787538130502621,1
ataxx.main.random-mcts.t1,ataxx,main,0.5,50000,200000,random,mcts,second,14,eliminated,17359113093109326511,1
ataxx.main.mcts-random.t1,ataxx,main,0.5,50000,200000,mcts,random,first,13,eliminated,13021545922633588437,1
ataxx.main.heuristic-alpha_beta.t1,ataxx,main,0.5,50000,200000,heuristic,alpha_beta,second,69,board_full,9441735708289312467,1
ataxx.main.alpha_beta-heuristic.t1,ataxx,main,0.5,50000,200000,alpha_beta,heuristic,first,72,board_full,9132334458350533081,1
ataxx.main.heuristic-mcts.t1,ataxx,main,0.5,50000,200000,heuristic,mcts,first,87,board_full,848089756488191507,1
ataxx.main.mcts-heuristic.t1,ataxx,main,0.5,50000,200000,mcts,heuristic,second,28,eliminated,8070799616443610958,1
ataxx.main.alpha_beta-mcts.t1,ataxx,main,0.5,50000,200000,alpha_beta,mcts,first,79,board_full,15606075494166736291,1
ataxx.main.mcts-alpha_beta.t1,ataxx,main,0.5,50000,200000,mcts,alpha_beta,second,70,board_full,16922247589244531875,1
ataxx.hard.random-heuristic.t1,ataxx,hard,0.1,50000,200000,random,heuristic,second,10,eliminated,15585929072963443662,1
ataxx.hard.heuristic-random.t1,ataxx,hard,0.1,50000,200000,heuristic,random,first,11,eliminated,5699197411010305402,1
ataxx.hard.random-alpha_beta.t1,ataxx,hard,0.1,50000,200000,random,alpha_beta,second,6,eliminated,15185250880281392987,1
ataxx.hard.alpha_beta-random.t1,ataxx,hard,0.1,50000,200000,alpha_beta,random,first,13,eliminated,3010960375034900481,1
ataxx.hard.random-mcts.t1,ataxx,hard,0.1,50000,200000,random,mcts,second,10,eliminated,4535217643536053021,1
ataxx.hard.mcts-random.t1,ataxx,hard,0.1,50000,200000,mcts,random,first,9,eliminated,15962953753088072535,1
ataxx.hard.heuristic-alpha_beta.t1,ataxx,hard,0.1,50000,200000,heuristic,alpha_beta,second,71,board_full,236135417939804377,1
ataxx.hard.alpha_beta-heuristic.t1,ataxx,hard,0.1,50000,200000,alpha_beta,heuristic,first,81,board_full,18351956810785189598,1
ataxx.hard.heuristic-mcts.t1,ataxx,hard,0.1,50000,200000,heuristic,mcts,first,15,eliminated,4708122232251797854,1
ataxx.hard.mcts-heuristic.t1,ataxx,hard,0.1,50000,200000,mcts,heuristic,second,94,board_full,9999534790577910425,1
ataxx.hard.alpha_beta-mcts.t1,ataxx,hard,0.1,50000,200000,alpha_beta,mcts,first,91,board_full,4232850997447236718,1
ataxx.hard.mcts-alpha_beta.t1,ataxx,hard,0.1,50000,200000,mcts,alpha_beta,second,26,eliminated,8873775206640782539,1
isolation.easy.random-heuristic.t2,isolation,easy,0.5,50000,200000,random,heuristic,second,12,no_moves,11468773436886383951,1
isolation.easy.heuristic-random.t2,isolation,easy,0.5,50000,200000,heuristic,random,first,17,no_moves,10215829458980454719,1
isolation.easy.random-alpha_beta.t2,isolation,easy,0.5,50000,200000,random,alpha_beta,second,10,no_moves,14018619264676167868,1
isolation.easy.alpha_beta-random.t2,isolation,easy,0.5,50000,200000,alpha_beta,random,first,11,no_moves,6680997169399612748,1
isolation.easy.random-mcts.t2,isolation,easy,0.5,50000,200000,random,mcts,second,12,no_moves,9263206579797734394,1
